id,user_id,ticker,target_price,condition,created_at,triggered_at
7,3,TSL,120,above,2026-06-24 12:23:42.899661+00,
8,3,SPCX,130,below,2026-06-24 12:24:02.060858+00,2026-07-17 13:31:40.113044
